 Count  Overhead File                    Line Function
     1         0 @Base\mpfr.jl           568 Rational{BigInt}(x::Float64)
     1         0 @Base\gmp.jl            992 Rational{BigInt}(num::BigInt, den…
     1         0 @Base\gmp.jl           1027 set_si(a::Int64, b::Int64)
     1         0 @Base\array.jl          771 _collect(cont::UnitRange{Int64}, …
     1         0 @Base\array.jl         1345 push!
     1         0 @Base\array.jl         1185 _growend_internal!(a::Vector{SubS…
     1         1 @Base\gmp.jl           1032 add!(z::Rational{BigInt}, x::Rati…
     1         1 @Float3109s\src\hexstrings.jl   23 AllHexStringValuesOf(fmt::Main.Pr…
     1         1 @Base\mpfr.jl           377 BigFloat(x::BigInt, r::Base.MPFR.…
     1         1 stdin                    41 run_hextab_like()
     1         0 stdin                    34 run_hextab_like()
     1         0 @Base\intfuncs.jl       975 dec(x::UInt64, pad::Int64, neg::B…
     1         1 @Base\intfuncs.jl       759 ndigits0zpb(x::UInt64, b::Int64)
     1         0 @Float3109s\src\utils.jl   41 significand_scale
     1         0 @Float3109s\src\support.jl   11 twopow
     1         0 @Base\int.jl            582 <<
     1         1 @Base\int.jl            575 <<
     1         1 @Float3109s\src\values.jl   76 AllValuesOf(fmt::Main.ProfRun.For…
     2         1 @Float3109s\src\hexstrings.jl   35 AllHexStringValuesOf(fmt::Main.Pr…
     2         0 @Float3109s\src\codepoints.jl   50 cp_nan
     2         1 @Float3109s\src\hexstrings.jl   29 AllHexStringValuesOf(fmt::Main.Pr…
     2         0 @Base\strings\search.jl  302 findfirst
     2         1 @Base\array.jl         2500 findfirst
     2         0 @Base\array.jl         1348 _push!
     2         2 @Base\gmp.jl            171 fdiv_q!
     2         0 @Base\array.jl         1838 insert!
     2         0 @Base\array.jl         1843 _insert!
     2         0 @Base\array.jl         1217 _growat!(a::Vector{Union{Base.Has…
     2         0 @Base\rational.jl       377 -(x::Rational{BigInt})
     2         0 @Base\gmp.jl            569 -
     2         0 @Base\gmp.jl            208 neg(a::BigInt)
     2         2 @Float3109s\src\values.jl   95 ValueOf(fmt::Main.ProfRun.Format,…
     2         0 @Float3109s\src\Printf2.jl 1082 _normalize_a_string_to_leading_on…
     2         0 @CSV\src\write.jl       174 write(file::String, itr::@NamedTu…
     2         0 @CSV\src\write.jl        65 Options
     2         0 @CSV\src\write.jl        84 #Options#78
     2         0 @CSV\src\write.jl        61 tup
     2         0 @Base\tuple.jl          450 Tuple
     2         2 @Base\tuple.jl          484 _totuple
     2         2 @Base\genericmemory.jl  143 unsafe_copyto!
     2         0 @Base\strings\substring.jl  236 string
     2         0 @Base\gmp.jl            763 string
     2         2 @Base\gmp.jl            806 ndigits0zpb(x::BigInt, b::Int64)
     2         0 @Base\rational.jl       185 Rational{BigInt}(x::BigInt)
     2         0 @Base\number.jl         400 one
     2         0 @Base\number.jl         399 one
     2         2 @CSV\src\write.jl       221 (::CSV.var"#90#91"{Bool, Bool, Ta…
     2         0 stdin                    38 run_hextab_like()
     2         2 @Base\tuple.jl          163 indexed_iterate
     2         0 @Base\mpfr.jl           158 _
     2         0 @Float3109s\src\Printf2.jl  511 fmt(buf::Vector{UInt8}, pos::Int6…
     2         0 @Float3109s\src\Printf2.jl   46 string
     2         0 @Float3109s\src\Printf2.jl   46 #string#1
     2         0 @Float3109s\src\codepoints.jl   50 cp_nan(fmt::Main.ProfRun.Format{M…
     2         2 @Float3109s\src\values.jl   70 AllValuesOf(fmt::Main.ProfRun.For…
     2         0 @Base\gmp.jl            501 -
     2         1 @Base\gmp.jl            172 sub(a::BigInt, b::BigInt)
     2         0 stdin                    35 run_hextab_like()
     2         0 @Base\number.jl         358 zero(::Type{Rational{BigInt}})
     2         0 @Base\rational.jl       185 Rational
     2         0 @Base\strings\substring.jl  263 _string(::String, ::Vararg{Union{…
     2         0 @Float3109s\src\Printf2.jl 1080 _normalize_a_string_to_leading_on…
     2         0 @Base\operators.jl      320 !=
     3         3 @Base\gmp.jl            171 fdiv_r!
     3         2 @Float3109s\src\codepoints.jl   54 cp_inf(fmt::Main.ProfRun.Format{M…
     3         0 @Base\dict.jl           881 _keyvalueset
     3         0 @Base\hamt.jl           198 insert!
     3         0 @Base\array.jl         1181 _growend_internal!(a::Vector{Unio…
     3         0 @Base\array.jl         1101 array_new_memory
     3         3 @Base\boot.jl           867 NamedTuple
     3         0 @Base\dict.jl           880 _keyvalueset
     3         0 @Base\hamt.jl           160 path
     3         3 @Base\gmp.jl            207 set!
     3         0 @Base\intfuncs.jl       827 ndigits0z
     3         3 @Float3109s\src\codepoints.jl   55 cp_inf(fmt::Main.ProfRun.Format{M…
     3         0 @Float3109s\src\Printf2.jl  951 format(f::Main.ProfRun.Printf2.Fo…
     3         0 @Base\iobuffer.jl       168 StringVector
     3         1 @Base\tuple.jl           74 iterate
     3         0 @Base\strings\io.jl      35 print(io::IOBuffer, x::Int64)
